current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
0.0000	0.6977	0.7397	0.0475	0.5374	0.8110	0.3368	0.0164	2.9321	0.4897	1.3465	0.9198	0.3084	0.2875	1.4284
0.0000	0.6979	0.7380	0.0465	0.5256	0.8174	0.3304	0.4802	1.3472	0.9194	0.3090	0.2863	1.4240	0.0193	2.9224
1.0000	0.6002	0.7751	0.1186	0.6661	0.8425	0.4386	0.0754	2.5451	0.6445	1.0196	0.9264	0.2721	0.3778	1.2497
1.0000	0.5981	0.7705	0.1229	0.6637	0.8366	0.4157	0.0747	2.6137	0.6374	1.0246	0.9235	0.2729	0.3599	1.2556
2.0000	0.5517	0.7885	0.1889	0.6902	0.8491	0.4705	0.1320	2.2877	0.6658	0.9234	0.9286	0.2563	0.4133	1.1660
2.0000	0.5555	0.7881	0.1902	0.6928	0.8439	0.4783	0.1336	2.3912	0.6601	0.9102	0.9300	0.2567	0.4163	1.1599
0.0000	0.7060	0.7361	0.0566	0.5258	0.8105	0.3201	0.0255	2.9393	0.4764	1.3788	0.9162	0.3111	0.2794	1.4629
3.0000	0.5183	0.8022	0.2464	0.7136	0.8579	0.5217	0.1881	2.1227	0.6848	0.8631	0.9342	0.2429	0.4584	1.0744
3.0000	0.5184	0.8042	0.2295	0.7165	0.8631	0.5334	0.1782	2.1339	0.6936	0.8405	0.9342	0.2448	0.4732	1.0678
1.0000	0.6104	0.7660	0.1302	0.6425	0.8315	0.6199	1.0548	0.9196	0.2793	0.3572	1.2628	0.4139	0.0808	2.5652
4.0000	0.4861	0.8172	0.2817	0.7344	0.8724	0.5740	0.2208	1.9733	0.7104	0.7951	0.9383	0.2306	0.5138	0.9963
2.0000	0.5609	0.7853	0.1970	0.6830	0.8466	0.6598	0.9324	0.9274	0.2604	0.4073	1.1735	0.4640	0.1446	2.3100
