current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
0.0000	1.1910	0.7033	0.0120	0.1570	0.7570	0.0019	0.0050	1.5233	0.0642	1.4143	0.9904	1.0794	0.0013	1.4668
0.0000	1.1904	0.7084	0.0125	0.1570	0.7647	0.0000	0.0000	1.5194	0.0693	1.4161	0.9977	1.0783	0.0000	1.4643
0.0000	1.1907	0.7066	0.0066	0.1582	0.7586	0.0043	0.0000	1.5161	0.0608	1.4154	0.9943	1.0790	0.0064	1.4672
1.0000	0.9357	0.7169	0.0178	0.2680	0.7567	0.0000	0.0000	1.7921	0.1392	1.4410	0.9997	0.6721	0.0000	1.5743
1.0000	0.9378	0.7161	0.0105	0.2499	0.7727	0.0000	0.0000	1.7958	0.1312	1.4464	0.9997	0.6744	0.0000	1.5758
1.0000	0.9372	0.7163	0.0201	0.2332	0.7866	0.1284	1.4519	0.9998	0.6732	0.0000	1.5807	0.0000	0.0059	1.7641
2.0000	0.8134	0.7243	0.0252	0.3421	0.7729	0.0013	0.0000	1.9847	0.2105	1.4263	0.9994	0.4877	0.0007	1.5873
2.0000	0.8165	0.7238	0.0254	0.3370	0.7805	0.0006	0.0000	2.0272	0.2151	1.4251	0.9993	0.4892	0.0003	1.5887
2.0000	0.8147	0.7239	0.0289	0.3555	0.7646	0.0005	0.0043	1.9602	0.2129	1.4285	0.9993	0.4893	0.0003	1.5910
3.0000	0.7444	0.7312	0.0254	0.4129	0.7843	0.2735	1.3808	0.9984	0.3995	0.0069	1.5411	0.0119	0.0005	2.1173
3.0000	0.7488	0.7311	0.0361	0.4155	0.7722	0.0112	0.0000	2.2104	0.2736	1.3710	0.9985	0.4011	0.0070	1.5428
3.0000	0.7455	0.7310	0.0433	0.4162	0.7642	0.0108	0.0075	2.0896	0.2677	1.3815	0.9987	0.4004	0.0062	1.5466
4.0000	0.6991	0.7400	0.0427	0.4834	0.7935	0.0439	0.0122	2.2070	0.3481	1.2941	0.9972	0.3548	0.0251	1.4784
4.0000	0.7053	0.7389	0.0419	0.4741	0.7742	0.0441	0.0000	2.3598	0.3349	1.3081	0.9974	0.3536	0.0253	1.4755
4.0000	0.7000	0.7396	0.0518	0.4795	0.7794	0.0405	0.0136	2.1877	0.3419	1.3084	0.9973	0.3556	0.0224	1.4780
5.0000	0.6669	0.7473	0.0589	0.5235	0.7901	0.0881	0.0193	2.2556	0.3839	1.2452	0.9949	0.3268	0.0525	1.4201
5.0000	0.6746	0.7470	0.0339	0.5201	0.7954	0.0866	0.0000	2.4745	0.3885	1.2373	0.9955	0.3270	0.0501	1.4179
5.0000	0.6676	0.7478	0.0589	0.5227	0.7877	0.0852	0.0148	2.2645	0.3849	1.2477	0.9960	0.3271	0.0496	1.4224
6.0000	0.6430	0.7536	0.0577	0.5513	0.7965	0.1456	0.0154	2.2974	0.4184	1.1898	0.9906	0.3096	0.0893	1.3667
6.0000	0.6524	0.7532	0.0465	0.5447	0.7982	0.1477	0.0000	2.5694	0.4247	1.1773	0.9910	0.3088	0.0894	1.3731
7.0000	0.6247	0.7603	0.0701	0.5786	0.8010	0.1842	0.0174	2.3174	0.4542	1.1475	0.9891	0.2963	0.1147	1.3370
6.0000	0.6434	0.7537	0.0595	0.5519	0.7985	0.1418	0.0146	2.2996	0.4224	1.1870	0.9907	0.3098	0.0866	1.3772
8.0000	0.6103	0.7652	0.0687	0.6119	0.8045	0.2041	0.0187	2.3570	0.4950	1.0919	0.9876	0.2865	0.1280	1.3163
7.0000	0.6355	0.7593	0.0493	0.5742	0.8042	0.1822	0.0000	2.6371	0.4583	1.1285	0.9893	0.2956	0.1118	1.3426
7.0000	0.6250	0.7595	0.0712	0.5734	0.8007	0.1756	0.0173	2.3067	0.4493	1.1452	0.9893	0.2966	0.1082	1.3413
9.0000	0.5989	0.7693	0.0880	0.6229	0.8068	0.5102	1.0676	0.9856	0.2803	0.1458	1.2913	0.2261	0.0283	2.3351
8.0000	0.6230	0.7647	0.0358	0.5910	0.8248	0.2094	0.0000	2.6987	0.4869	1.0927	0.9875	0.2875	0.1340	1.3076
8.0000	0.6106	0.7648	0.0730	0.6071	0.8108	0.2037	0.0241	2.3315	0.4887	1.1015	0.9873	0.2858	0.1293	1.3159
10.0000	0.5898	0.7724	0.0958	0.6396	0.8068	0.2398	0.0279	2.3395	0.5347	1.0336	0.9847	0.2737	0.1569	1.2749
9.0000	0.6127	0.7682	0.0527	0.6158	0.8076	0.2310	0.0000	2.7309	0.5066	1.0612	0.9864	0.2789	0.1481	1.2854
